OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTArea,ShapeSTLength
511,FRA,3,Very High, ,Very High,241638.497070312,2066.99951664359
512,FRA,2,High, , ,1738293.95410156,5273.79105093184
513,FRA,3,Very High, ,Very High,13608.3251953125,1801.70581260951
514,FRA,2,High, , ,3327066.77441406,9352.2208060663
515,FRA,2,High, , ,49255.337890625,4250.58789161834
516,FRA,3,Very High, ,Very High,709.373046875,595.116802703322
517,FRA,3,Very High, ,Very High,7401411.47558594,10888.1971553611
518,FRA,3,Very High, ,Very High,20607170.8085938,24724.9919289265
519,FRA,2,High, , ,1706614.11816406,5225.90223242763
520,FRA,3,Very High, ,Very High,1656195.57324219,5155.09183172428
521,FRA,3,Very High, ,Very High,21142.8408203125,4458.33128916832
522,FRA,2,High, , ,9289.046875,488.185788573766
523,FRA,3,Very High, ,Very High,1677834.0078125,5183.38090004088
524,FRA,3,Very High, ,Very High,33974.5556640625,1541.17299881074
525,FRA,3,Very High, ,Very High,2249082.36035156,6560.02351585998
526,FRA,2,High, , ,1716776.05566406,7189.57291784519
527,FRA,3,Very High, ,Very High,887478.314453125,3993.89989999458
528,FRA,3,Very High, ,Very High,161630.873046875,1757.77807164322
529,FRA,3,Very High, ,Very High,3526690.4609375,7970.77933296188
530,FRA,3,Very High, ,Very High,3523270.92578125,7920.59405326933
531,FRA,2,High, , ,7988.53125,1000.2261825569
532,FRA,3,Very High,Y,Very High,4833.7080078125,5311.75723900702
533,FRA,2,High, , ,3281836.48632812,8143.98683913971
534,FRA,2,High, , ,19062.6337890625,2434.60185690267
535,FRA,3,Very High, ,Very High,219198.833007812,3948.8954455993
536,FRA,2,High, , ,30699.775390625,1755.80511911834
537,FRA,2,High, , ,38912.9111328125,2238.22076857737
538,FRA,2,High, , ,14897.513671875,2306.93785379345
539,FRA,2,High, , ,54767.1767578125,4930.3260314747
540,FRA,3,Very High, ,Very High,1278.4931640625,667.706624071806
541,FRA,3,Very High, ,Very High,3484497.66015625,7947.74515989445
542,FRA,3,Very High, ,Very High,3118970.55273438,8506.82791611763
543,FRA,2,High, , ,50845.224609375,3215.5275302784
544,FRA,2,High, , ,45306.7109375,3790.97419403778
545,FRA,2,High, , ,36402.5068359375,2233.64522060858
546,FRA,2,High, , ,3905.603515625,1153.4118108282
547,FRA,3,Very High, ,Very High,3461449.02246094,7910.33737557174
548,FRA,2,High, , ,59844.546875,3896.74289390298
549,FRA,1,Moderate, , ,16531320.9013672,31846.7405570833
550,FRA,2,High, , ,44312.0986328125,3632.44408265196
551,FRA,2,High, , ,979307.950195312,7431.03503158121
552,FRA,2,High, , ,192472.296875,1950.09352007861
553,FRA,2,High, , ,16112.955078125,869.573428069902
554,FRA,2,High, , ,19650.048828125,1435.71617831328
555,FRA,2,High, , ,124453.205078125,1586.04209179507
556,FRA,2,High, , ,69727.68359375,1217.19578424608
557,FRA,2,High, , ,1517.7216796875,227.74991152209
558,FRA,2,High, , ,33507.5869140625,2102.00846312073
559,FRA,2,High, , ,197.431640625,67.8866111521982
560,FRA,1,Moderate, , ,1468.0439453125,568.315988642433
561,FRA,1,Moderate, , ,10717.388671875,1650.60257776422
562,FRA,1,Moderate, , ,8579.462890625,1313.362161091
563,FRA,1,Moderate, , ,2742.83984375,209.875370802534
