Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B18002_001,SE_B18002_002,SE_B18002_003
"06037192300","Census Tract 1923, Los Angeles County, California","ACSSF","ca","140","00","0004693",,,,,"06","037",,,"192300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192300","Census Tract 1923",,,,895,188,396
"06037192410","Census Tract 1924.10, Los Angeles County, California","ACSSF","ca","140","00","0004694",,,,,"06","037",,,"192410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192410","Census Tract 1924.10",,,,1172,260,211
"06037192420","Census Tract 1924.20, Los Angeles County, California","ACSSF","ca","140","00","0004695",,,,,"06","037",,,"192420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192420","Census Tract 1924.20",,,,1195,343,406
"06037192510","Census Tract 1925.10, Los Angeles County, California","ACSSF","ca","140","00","0004696",,,,,"06","037",,,"192510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192510","Census Tract 1925.10",,,,988,250,419
"06037192520","Census Tract 1925.20, Los Angeles County, California","ACSSF","ca","140","00","0004697",,,,,"06","037",,,"192520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192520","Census Tract 1925.20",,,,1445,394,383
"06037192610","Census Tract 1926.10, Los Angeles County, California","ACSSF","ca","140","00","0004698",,,,,"06","037",,,"192610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192610","Census Tract 1926.10",,,,1351,343,580
"06037192620","Census Tract 1926.20, Los Angeles County, California","ACSSF","ca","140","00","0004699",,,,,"06","037",,,"192620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192620","Census Tract 1926.20",,,,1101,416,338
"06037192700","Census Tract 1927, Los Angeles County, California","ACSSF","ca","140","00","0004700",,,,,"06","037",,,"192700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192700","Census Tract 1927",,,,1065,255,291
"06037194101","Census Tract 1941.01, Los Angeles County, California","ACSSF","ca","140","00","0004701",,,,,"06","037",,,"194101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037194101","Census Tract 1941.01",,,,1144,266,478
"06037194102","Census Tract 1941.02, Los Angeles County, California","ACSSF","ca","140","00","0004702",,,,,"06","037",,,"194102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037194102","Census Tract 1941.02",,,,262,43,92
