Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T028_000,SE_T028_001,SE_T028_002,SE_T028_003,SE_T028_004,SE_T028_005,SE_T028_006,SE_T028_007,SE_T028_008,SE_T028_009,SE_T029_000,SE_T029_001,SE_T029_002,SE_T029_003,SE_T029_004,SE_T029_005,SE_T029_006,SE_T029_007,SE_T029_008,SE_T029_009,SE_T030_000,SE_T030_001,SE_T030_002,SE_T030_003,SE_T030_004,SE_T030_005,SE_T030_006,SE_T030_007,SE_T030_008,SE_T030_009,SE_T031_000,SE_T031_001,SE_T031_002,SE_T031_003,SE_T031_004,SE_T031_005,SE_T031_006,SE_T031_007,SE_T031_008,SE_T031_009,SE_T032_000,SE_T032_001,SE_T032_002,SE_T032_003,SE_T032_004,SE_T032_005,SE_T032_006,SE_T032_007,SE_T032_008,SE_T032_009
"Census Tract 5024.02, Los Angeles County, California","Census Tract 5024.02","06037502402","00","06","037",,"502402",,,,,,,,3789,3505,284,159,19,5,53,0,34,14,3755,3527,228,172,20,10,13,1,2,10,34,-22,56,-13,-1,-5,40,-1,32,4,0.905459387483356,-0.623759569038843,24.5614035087719,-7.55813953488372,-5,-50,307.692307692308,-100,1600,40,-1.99840144432528E-15,-1.42347723928578,1.42347723928577,-0.384201376259471,-0.0311715987726754,-0.134350644992038,1.05258089943592,-0.0266311584553928,0.844072072110064,0.103179046219363
"Census Tract 5025, Los Angeles County, California","Census Tract 5025","06037502500","00","06","037",,"502500",,,,,,,,4124,3780,344,194,44,1,84,0,8,13,4215,3745,470,329,39,10,62,1,10,19,-91,35,-126,-135,5,-9,22,-1,-2,-6,-2.15895610913404,0.934579439252336,-26.8085106382979,-41.0334346504559,12.8205128205128,-90,35.4838709677419,-100,-20,-31.5789473684211,2.66453525910038E-15,2.80923633091829,-2.80923633091828,-3.10128599420342,0.141658411313343,-0.212999621461848,0.565920290680483,-0.0237247924080664,-0.0432615031301308,-0.135543121708645
"Census Tract 5026.02, Los Angeles County, California","Census Tract 5026.02","06037502602","00","06","037",,"502602",,,,,,,,4377,3829,548,259,62,11,164,0,27,25,4321,3745,576,348,45,8,137,0,2,36,56,84,-28,-89,17,3,27,0,25,-11,1.29599629715344,2.24299065420561,-4.86111111111111,-25.5747126436782,37.7777777777778,37.5,19.7080291970803,,1250,-30.5555555555556,2.77555756156289E-15,0.810256766543382,-0.81025676654338,-2.13639632428819,0.375069720499908,0.0661713570077159,0.576296209113543,0,0.570575281564015,-0.261973010440376
"Census Tract 5026.03, Los Angeles County, California","Census Tract 5026.03","06037502603","00","06","037",,"502603",,,,,,,,3407,3138,269,169,12,2,56,2,7,21,3450,3198,252,160,17,2,47,2,6,18,-43,-60,17,9,-5,0,9,0,1,3,-1.2463768115942,-1.87617260787993,6.74603174603175,5.625,-29.4117647058824,0,19.1489361702128,0,16.6666666666667,16.6666666666667,1.33226762955019E-15,-0.591161419583719,0.59116141958372,0.322694537673928,-0.140537597359231,0.000731656478775578,0.281355946623107,0.000731656478775578,0.0315463049220913,0.094638914766274
"Census Tract 5026.04, Los Angeles County, California","Census Tract 5026.04","06037502604","00","06","037",,"502604",,,,,,,,3662,3302,360,223,9,10,75,10,19,14,3697,3325,372,286,11,6,58,0,0,11,-35,-23,-12,-63,-2,4,17,10,19,3,-0.946713551528266,-0.691729323308271,-3.2258064516129,-22.027972027972,-18.1818181818182,66.6666666666667,29.3103448275862,,,27.2727272727273,-5.55111512312578E-15,0.231518994765556,-0.231518994765562,-1.64643362213624,-0.0517712045147977,0.110781070810805,0.479221569084828,0.273074822501365,0.518842162752594,0.084766206735885
"Census Tract 5027, Los Angeles County, California","Census Tract 5027","06037502700","00","06","037",,"502700",,,,,,,,7682,6413,1269,604,179,12,332,10,29,103,6954,6053,901,538,98,33,174,6,3,49,728,360,368,66,81,-21,158,4,26,54,10.4687949381651,5.94746406740459,40.8435072142064,12.2676579925651,82.6530612244898,-63.6363636363636,90.8045977011494,66.6666666666667,866.666666666667,110.204081632653,-1.11022302462516E-14,-3.56256388449796,3.56256388449795,0.125981296962664,0.920861506907032,-0.318337702806489,1.81963416828421,0.0438931567783142,0.334365219368069,0.636166239004154
"Census Tract 5028.01, Los Angeles County, California","Census Tract 5028.01","06037502801","00","06","037",,"502801",,,,,,,,6347,5091,1256,781,86,17,248,16,21,87,6208,4699,1510,1093,56,19,256,11,17,57,139,392,-254,-312,30,-2,-8,5,4,30,2.23904639175258,8.34220046818472,-16.8211920529801,-28.5452881976212,53.5714285714286,-10.5263157894737,-3.125,45.4545454545455,23.5294117647059,52.6315789473684,-0.0161082474226859,4.5184687261942,-4.53457697361689,-5.3012884364559,0.452908996701096,-0.0382136255622024,-0.21635353336831,0.0748968787916688,0.0570247693934467,0.452556224305987
"Census Tract 5029.01, Los Angeles County, California","Census Tract 5029.01","06037502901","00","06","037",,"502901",,,,,,,,5449,4484,965,559,43,20,219,22,20,82,5413,4254,1159,823,40,9,201,7,11,68,36,230,-194,-264,3,11,18,15,9,14,0.665065582856087,5.40667606958157,-16.7385677308024,-32.0777642770352,7.5,122.222222222222,8.95522388059701,214.285714285714,81.8181818181818,20.5882352941176,-8.43769498715119E-15,3.70174545981468,-3.70174545981468,-4.94537511005516,0.050173862485916,0.200773428106863,0.305803233225532,0.274425498425401,0.163825340170413,0.248628287826351
"Census Tract 5030, Los Angeles County, California","Census Tract 5030","06037503000","00","06","037",,"503000",,,,,,,,5675,5186,489,241,27,8,142,14,13,44,6057,5559,498,335,23,4,95,23,2,16,-382,-373,-9,-94,4,4,47,-9,11,28,-6.30675251774806,-6.70983989926246,-1.80722891566265,-28.0597014925373,17.3913043478261,100,49.4736842105263,-39.1304347826087,550,175,8.32667268468867E-15,-0.394848062350395,0.394848062350403,-1.28409478529593,0.0960449881776574,0.0749298696160339,0.933769425407236,-0.133029901690184,0.196055243178061,0.511173222957528
"Census Tract 5031.03, Los Angeles County, California","Census Tract 5031.03","06037503103","00","06","037",,"503103",,,,,,,,4774,4027,747,365,36,7,271,12,12,44,5004,4260,744,484,49,10,163,10,4,24,-230,-233,3,-119,-13,-3,108,2,8,20,-4.59632294164668,-5.46948356807512,0.403225806451613,-24.5867768595041,-26.530612244898,-30,66.2576687116564,20,200,83.3333333333333,-2.77555756156289E-15,-0.779150454249089,0.779150454249086,-2.02668196402241,-0.225132001646274,-0.0532125619152772,2.41918739830088,0.0515214137864405,0.17142549052505,0.442042679220679
"Census Tract 5031.04, Los Angeles County, California","Census Tract 5031.04","06037503104","00","06","037",,"503104",,,,,,,,2561,2264,297,160,5,4,89,10,10,19,2719,2409,310,215,3,2,54,9,1,26,-158,-145,-13,-55,2,2,35,1,9,-7,-5.81095991173225,-6.01909506019095,-4.19354838709677,-25.5813953488372,66.6666666666667,100,64.8148148148148,11.1111111111111,900,-26.9230769230769,4.16333634234434E-15,-0.195781949487306,0.19578194948731,-1.65975932017867,0.0849015539770389,0.082632534097409,1.48918072441763,0.059468426085744,0.353694244401301,-0.214336213313144
"Census Tract 5031.05, Los Angeles County, California","Census Tract 5031.05","06037503105","00","06","037",,"503105",,,,,,,,3618,2746,872,386,82,11,305,10,22,56,3634,2749,885,522,84,9,219,4,9,38,-16,-3,-13,-136,-2,2,86,6,13,18,-0.440286186020914,-0.109130592942888,-1.46892655367232,-26.0536398467433,-2.38095238095238,22.2222222222222,39.2694063926941,150,144.444444444444,47.3684210526316,2.77555756156289E-15,0.251616010329325,-0.251616010329322,-3.69545898587537,-0.0450569265821568,0.0563743990254805,2.40365469174643,0.16632425227863,0.360409777687725,0.502136781389938
"Census Tract 5031.06, Los Angeles County, California","Census Tract 5031.06","06037503106","00","06","037",,"503106",,,,,,,,3822,2882,940,559,56,4,242,6,21,52,3795,2773,1022,784,36,13,146,8,1,34,27,109,-82,-225,20,-9,96,-2,20,18,0.711462450592885,3.93076090876307,-8.02348336594912,-28.6989795918367,55.5555555555556,-69.2307692307692,65.7534246575342,-25,2000,52.9411764705882,-2.66453525910038E-15,2.33571811211563,-2.33571811211563,-6.03291118819069,0.516584864410951,-0.237898747215517,2.48459614919242,-0.053817817792973,0.52310008831748,0.464628539162701
"Census Tract 5032.01, Los Angeles County, California","Census Tract 5032.01","06037503201","00","06","037",,"503201",,,,,,,,4002,2876,1126,755,52,10,222,2,15,70,3912,2619,1293,1004,47,6,173,1,8,54,90,257,-167,-249,5,4,49,1,7,16,2.30061349693252,9.81290568919435,-12.9156999226605,-24.800796812749,10.6382978723404,66.6666666666667,28.3236994219653,100,87.5,29.6296296296296,0,4.91621520528079,-4.91621520528079,-6.79905446049981,0.0979188319950454,0.0965008293399313,1.12493599825854,0.0244126403056141,0.170313616198036,0.36875733912185
"Census Tract 5032.02, Los Angeles County, California","Census Tract 5032.02","06037503202","00","06","037",,"503202",,,,,,,,4350,3428,922,530,56,16,239,14,9,58,4462,3400,1062,735,40,22,218,5,0,42,-112,28,-140,-205,16,-6,21,9,9,16,-2.51008516360376,0.823529411764706,-13.1826741996234,-27.891156462585,40,-27.2727272727273,9.63302752293578,180,,38.0952380952381,0,2.60558380603513,-2.60558380603513,-4.2885258401727,0.390897334837736,-0.125236350896717,0.60855139440589,0.209781707084602,0.206896551724138,0.392051396981921
