Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B18002_001,SE_B18002_002,SE_B18002_003,Percent_Rent_Burden,Percent_Severe_Burden
06037104824,"Census Tract 1048.24, Los Angeles County, California",ACSSF,ca,140,0,4240,,,,,6,37,,,104824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104824,Census Tract 1048.24,,,,113,0,66,0%,58%
06037106010,"Census Tract 1060.10, Los Angeles County, California",ACSSF,ca,140,0,4241,,,,,6,37,,,106010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106010,Census Tract 1060.10,,,,207,100,25,48%,12%
06037106020,"Census Tract 1060.20, Los Angeles County, California",ACSSF,ca,140,0,4242,,,,,6,37,,,106020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106020,Census Tract 1060.20,,,,275,71,97,26%,35%
06037106111,"Census Tract 1061.11, Los Angeles County, California",ACSSF,ca,140,0,4243,,,,,6,37,,,106111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106111,Census Tract 1061.11,,,,107,58,0,54%,0%
06037106112,"Census Tract 1061.12, Los Angeles County, California",ACSSF,ca,140,0,4244,,,,,6,37,,,106112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106112,Census Tract 1061.12,,,,169,16,41,9%,24%
06037106113,"Census Tract 1061.13, Los Angeles County, California",ACSSF,ca,140,0,4245,,,,,6,37,,,106113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106113,Census Tract 1061.13,,,,177,37,80,21%,45%
06037106114,"Census Tract 1061.14, Los Angeles County, California",ACSSF,ca,140,0,4246,,,,,6,37,,,106114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106114,Census Tract 1061.14,,,,829,150,347,18%,42%
06037106403,"Census Tract 1064.03, Los Angeles County, California",ACSSF,ca,140,0,4247,,,,,6,37,,,106403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106403,Census Tract 1064.03,,,,224,64,118,29%,53%
06037106405,"Census Tract 1064.05, Los Angeles County, California",ACSSF,ca,140,0,4248,,,,,6,37,,,106405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106405,Census Tract 1064.05,,,,474,205,5,43%,1%
06037106406,"Census Tract 1064.06, Los Angeles County, California",ACSSF,ca,140,0,4249,,,,,6,37,,,106406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106406,Census Tract 1064.06,,,,372,104,81,28%,22%
