Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10001_001
"06037104108","Census Tract 1041.08, Los Angeles County, California","ACSSF","ca","140","00","0004220",,,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104108","Census Tract 1041.08",,,,1342
"06037104124","Census Tract 1041.24, Los Angeles County, California","ACSSF","ca","140","00","0004221",,,,,"06","037",,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104124","Census Tract 1041.24",,,,1371
"06037104201","Census Tract 1042.01, Los Angeles County, California","ACSSF","ca","140","00","0004222",,,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104201","Census Tract 1042.01",,,,916
"06037104203","Census Tract 1042.03, Los Angeles County, California","ACSSF","ca","140","00","0004223",,,,,"06","037",,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104203","Census Tract 1042.03",,,,1145
"06037104204","Census Tract 1042.04, Los Angeles County, California","ACSSF","ca","140","00","0004224",,,,,"06","037",,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104204","Census Tract 1042.04",,,,761
"06037104310","Census Tract 1043.10, Los Angeles County, California","ACSSF","ca","140","00","0004225",,,,,"06","037",,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104310","Census Tract 1043.10",,,,971
"06037104321","Census Tract 1043.21, Los Angeles County, California","ACSSF","ca","140","00","0004226",,,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104321","Census Tract 1043.21",,,,960
"06037104322","Census Tract 1043.22, Los Angeles County, California","ACSSF","ca","140","00","0004227",,,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104322","Census Tract 1043.22",,,,473
"06037104401","Census Tract 1044.01, Los Angeles County, California","ACSSF","ca","140","00","0004228",,,,,"06","037",,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104401","Census Tract 1044.01",,,,662
"06037104403","Census Tract 1044.03, Los Angeles County, California","ACSSF","ca","140","00","0004229",,,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104403","Census Tract 1044.03",,,,648
"06037104404","Census Tract 1044.04, Los Angeles County, California","ACSSF","ca","140","00","0004230",,,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104404","Census Tract 1044.04",,,,763
"06037104500","Census Tract 1045, Los Angeles County, California","ACSSF","ca","140","00","0004231",,,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104500","Census Tract 1045",,,,643
"06037104610","Census Tract 1046.10, Los Angeles County, California","ACSSF","ca","140","00","0004232",,,,,"06","037",,,"104610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104610","Census Tract 1046.10",,,,737
"06037104620","Census Tract 1046.20, Los Angeles County, California","ACSSF","ca","140","00","0004233",,,,,"06","037",,,"104620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104620","Census Tract 1046.20",,,,702
"06037104701","Census Tract 1047.01, Los Angeles County, California","ACSSF","ca","140","00","0004234",,,,,"06","037",,,"104701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104701","Census Tract 1047.01",,,,919
"06037104703","Census Tract 1047.03, Los Angeles County, California","ACSSF","ca","140","00","0004235",,,,,"06","037",,,"104703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104703","Census Tract 1047.03",,,,670
"06037104704","Census Tract 1047.04, Los Angeles County, California","ACSSF","ca","140","00","0004236",,,,,"06","037",,,"104704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104704","Census Tract 1047.04",,,,1272
"06037104821","Census Tract 1048.21, Los Angeles County, California","ACSSF","ca","140","00","0004237",,,,,"06","037",,,"104821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104821","Census Tract 1048.21",,,,753
"06037104822","Census Tract 1048.22, Los Angeles County, California","ACSSF","ca","140","00","0004238",,,,,"06","037",,,"104822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104822","Census Tract 1048.22",,,,658
"06037104823","Census Tract 1048.23, Los Angeles County, California","ACSSF","ca","140","00","0004239",,,,,"06","037",,,"104823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104823","Census Tract 1048.23",,,,732
"06037104824","Census Tract 1048.24, Los Angeles County, California","ACSSF","ca","140","00","0004240",,,,,"06","037",,,"104824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104824","Census Tract 1048.24",,,,535
"06037106010","Census Tract 1060.10, Los Angeles County, California","ACSSF","ca","140","00","0004241",,,,,"06","037",,,"106010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106010","Census Tract 1060.10",,,,947
"06037106020","Census Tract 1060.20, Los Angeles County, California","ACSSF","ca","140","00","0004242",,,,,"06","037",,,"106020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106020","Census Tract 1060.20",,,,1339
"06037106111","Census Tract 1061.11, Los Angeles County, California","ACSSF","ca","140","00","0004243",,,,,"06","037",,,"106111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106111","Census Tract 1061.11",,,,1450
"06037106112","Census Tract 1061.12, Los Angeles County, California","ACSSF","ca","140","00","0004244",,,,,"06","037",,,"106112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106112","Census Tract 1061.12",,,,1416
"06037106113","Census Tract 1061.13, Los Angeles County, California","ACSSF","ca","140","00","0004245",,,,,"06","037",,,"106113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106113","Census Tract 1061.13",,,,1032
"06037106114","Census Tract 1061.14, Los Angeles County, California","ACSSF","ca","140","00","0004246",,,,,"06","037",,,"106114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106114","Census Tract 1061.14",,,,1767
"06037106403","Census Tract 1064.03, Los Angeles County, California","ACSSF","ca","140","00","0004247",,,,,"06","037",,,"106403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106403","Census Tract 1064.03",,,,891
"06037106405","Census Tract 1064.05, Los Angeles County, California","ACSSF","ca","140","00","0004248",,,,,"06","037",,,"106405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106405","Census Tract 1064.05",,,,1217
"06037106406","Census Tract 1064.06, Los Angeles County, California","ACSSF","ca","140","00","0004249",,,,,"06","037",,,"106406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106406","Census Tract 1064.06",,,,1967
"06037106407","Census Tract 1064.07, Los Angeles County, California","ACSSF","ca","140","00","0004250",,,,,"06","037",,,"106407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106407","Census Tract 1064.07",,,,924
"06037106408","Census Tract 1064.08, Los Angeles County, California","ACSSF","ca","140","00","0004251",,,,,"06","037",,,"106408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106408","Census Tract 1064.08",,,,1085
"06037106510","Census Tract 1065.10, Los Angeles County, California","ACSSF","ca","140","00","0004252",,,,,"06","037",,,"106510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106510","Census Tract 1065.10",,,,1724
"06037106520","Census Tract 1065.20, Los Angeles County, California","ACSSF","ca","140","00","0004253",,,,,"06","037",,,"106520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106520","Census Tract 1065.20",,,,1501
"06037106603","Census Tract 1066.03, Los Angeles County, California","ACSSF","ca","140","00","0004254",,,,,"06","037",,,"106603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106603","Census Tract 1066.03",,,,1195
"06037106604","Census Tract 1066.04, Los Angeles County, California","ACSSF","ca","140","00","0004255",,,,,"06","037",,,"106604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106604","Census Tract 1066.04",,,,1258
"06037106641","Census Tract 1066.41, Los Angeles County, California","ACSSF","ca","140","00","0004256",,,,,"06","037",,,"106641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106641","Census Tract 1066.41",,,,764
"06037106642","Census Tract 1066.42, Los Angeles County, California","ACSSF","ca","140","00","0004257",,,,,"06","037",,,"106642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106642","Census Tract 1066.42",,,,1199
"06037106643","Census Tract 1066.43, Los Angeles County, California","ACSSF","ca","140","00","0004258",,,,,"06","037",,,"106643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106643","Census Tract 1066.43",,,,1453
"06037106645","Census Tract 1066.45, Los Angeles County, California","ACSSF","ca","140","00","0004259",,,,,"06","037",,,"106645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106645","Census Tract 1066.45",,,,1313
"06037106646","Census Tract 1066.46, Los Angeles County, California","ACSSF","ca","140","00","0004260",,,,,"06","037",,,"106646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106646","Census Tract 1066.46",,,,1002
"06037106648","Census Tract 1066.48, Los Angeles County, California","ACSSF","ca","140","00","0004261",,,,,"06","037",,,"106648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106648","Census Tract 1066.48",,,,1119
"06037106649","Census Tract 1066.49, Los Angeles County, California","ACSSF","ca","140","00","0004262",,,,,"06","037",,,"106649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106649","Census Tract 1066.49",,,,682
"06037107010","Census Tract 1070.10, Los Angeles County, California","ACSSF","ca","140","00","0004263",,,,,"06","037",,,"107010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037107010","Census Tract 1070.10",,,,787
"06037107020","Census Tract 1070.20, Los Angeles County, California","ACSSF","ca","140","00","0004264",,,,,"06","037",,,"107020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037107020","Census Tract 1070.20",,,,1234
"06037108101","Census Tract 1081.01, Los Angeles County, California","ACSSF","ca","140","00","0004265",,,,,"06","037",,,"108101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108101","Census Tract 1081.01",,,,791
"06037108102","Census Tract 1081.02, Los Angeles County, California","ACSSF","ca","140","00","0004266",,,,,"06","037",,,"108102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108102","Census Tract 1081.02",,,,1202
"06037108103","Census Tract 1081.03, Los Angeles County, California","ACSSF","ca","140","00","0004267",,,,,"06","037",,,"108103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108103","Census Tract 1081.03",,,,1021
"06037108104","Census Tract 1081.04, Los Angeles County, California","ACSSF","ca","140","00","0004268",,,,,"06","037",,,"108104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108104","Census Tract 1081.04",,,,577
"06037108202","Census Tract 1082.02, Los Angeles County, California","ACSSF","ca","140","00","0004269",,,,,"06","037",,,"108202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108202","Census Tract 1082.02",,,,3358
"06037108203","Census Tract 1082.03, Los Angeles County, California","ACSSF","ca","140","00","0004270",,,,,"06","037",,,"108203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108203","Census Tract 1082.03",,,,1201
"06037108204","Census Tract 1082.04, Los Angeles County, California","ACSSF","ca","140","00","0004271",,,,,"06","037",,,"108204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037108204","Census Tract 1082.04",,,,650
"06037109100","Census Tract 1091, Los Angeles County, California","ACSSF","ca","140","00","0004272",,,,,"06","037",,,"109100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109100","Census Tract 1091",,,,898
"06037109200","Census Tract 1092, Los Angeles County, California","ACSSF","ca","140","00","0004273",,,,,"06","037",,,"109200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109200","Census Tract 1092",,,,1123
"06037109300","Census Tract 1093, Los Angeles County, California","ACSSF","ca","140","00","0004274",,,,,"06","037",,,"109300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109300","Census Tract 1093",,,,973
"06037109400","Census Tract 1094, Los Angeles County, California","ACSSF","ca","140","00","0004275",,,,,"06","037",,,"109400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109400","Census Tract 1094",,,,1161
"06037109500","Census Tract 1095, Los Angeles County, California","ACSSF","ca","140","00","0004276",,,,,"06","037",,,"109500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109500","Census Tract 1095",,,,1036
"06037109601","Census Tract 1096.01, Los Angeles County, California","ACSSF","ca","140","00","0004277",,,,,"06","037",,,"109601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109601","Census Tract 1096.01",,,,1348
"06037109603","Census Tract 1096.03, Los Angeles County, California","ACSSF","ca","140","00","0004278",,,,,"06","037",,,"109603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109603","Census Tract 1096.03",,,,1274
"06037109604","Census Tract 1096.04, Los Angeles County, California","ACSSF","ca","140","00","0004279",,,,,"06","037",,,"109604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109604","Census Tract 1096.04",,,,925
"06037109700","Census Tract 1097, Los Angeles County, California","ACSSF","ca","140","00","0004280",,,,,"06","037",,,"109700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109700","Census Tract 1097",,,,1441
"06037109800","Census Tract 1098, Los Angeles County, California","ACSSF","ca","140","00","0004281",,,,,"06","037",,,"109800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037109800","Census Tract 1098",,,,1507
"06037111100","Census Tract 1111, Los Angeles County, California","ACSSF","ca","140","00","0004282",,,,,"06","037",,,"111100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111100","Census Tract 1111",,,,992
"06037111201","Census Tract 1112.01, Los Angeles County, California","ACSSF","ca","140","00","0004283",,,,,"06","037",,,"111201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111201","Census Tract 1112.01",,,,1108
"06037111202","Census Tract 1112.02, Los Angeles County, California","ACSSF","ca","140","00","0004284",,,,,"06","037",,,"111202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111202","Census Tract 1112.02",,,,2011
"06037111204","Census Tract 1112.04, Los Angeles County, California","ACSSF","ca","140","00","0004285",,,,,"06","037",,,"111204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111204","Census Tract 1112.04",,,,1895
"06037111205","Census Tract 1112.05, Los Angeles County, California","ACSSF","ca","140","00","0004286",,,,,"06","037",,,"111205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111205","Census Tract 1112.05",,,,1319
"06037111206","Census Tract 1112.06, Los Angeles County, California","ACSSF","ca","140","00","0004287",,,,,"06","037",,,"111206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111206","Census Tract 1112.06",,,,1497
"06037111302","Census Tract 1113.02, Los Angeles County, California","ACSSF","ca","140","00","0004288",,,,,"06","037",,,"111302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111302","Census Tract 1113.02",,,,1828
"06037111303","Census Tract 1113.03, Los Angeles County, California","ACSSF","ca","140","00","0004289",,,,,"06","037",,,"111303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111303","Census Tract 1113.03",,,,1483
"06037111304","Census Tract 1113.04, Los Angeles County, California","ACSSF","ca","140","00","0004290",,,,,"06","037",,,"111304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111304","Census Tract 1113.04",,,,1401
"06037111401","Census Tract 1114.01, Los Angeles County, California","ACSSF","ca","140","00","0004291",,,,,"06","037",,,"111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111401","Census Tract 1114.01",,,,679
"06037111402","Census Tract 1114.02, Los Angeles County, California","ACSSF","ca","140","00","0004292",,,,,"06","037",,,"111402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037111402","Census Tract 1114.02",,,,2166
"06037113101","Census Tract 1131.01, Los Angeles County, California","ACSSF","ca","140","00","0004293",,,,,"06","037",,,"113101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113101","Census Tract 1131.01",,,,1186
"06037113102","Census Tract 1131.02, Los Angeles County, California","ACSSF","ca","140","00","0004294",,,,,"06","037",,,"113102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113102","Census Tract 1131.02",,,,1009
"06037113211","Census Tract 1132.11, Los Angeles County, California","ACSSF","ca","140","00","0004295",,,,,"06","037",,,"113211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113211","Census Tract 1132.11",,,,1673
"06037113212","Census Tract 1132.12, Los Angeles County, California","ACSSF","ca","140","00","0004296",,,,,"06","037",,,"113212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113212","Census Tract 1132.12",,,,967
"06037113213","Census Tract 1132.13, Los Angeles County, California","ACSSF","ca","140","00","0004297",,,,,"06","037",,,"113213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113213","Census Tract 1132.13",,,,1735
"06037113231","Census Tract 1132.31, Los Angeles County, California","ACSSF","ca","140","00","0004298",,,,,"06","037",,,"113231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113231","Census Tract 1132.31",,,,879
"06037113232","Census Tract 1132.32, Los Angeles County, California","ACSSF","ca","140","00","0004299",,,,,"06","037",,,"113232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113232","Census Tract 1132.32",,,,1508
"06037113234","Census Tract 1132.34, Los Angeles County, California","ACSSF","ca","140","00","0004300",,,,,"06","037",,,"113234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113234","Census Tract 1132.34",,,,1694
"06037113235","Census Tract 1132.35, Los Angeles County, California","ACSSF","ca","140","00","0004301",,,,,"06","037",,,"113235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113235","Census Tract 1132.35",,,,701
"06037113237","Census Tract 1132.37, Los Angeles County, California","ACSSF","ca","140","00","0004302",,,,,"06","037",,,"113237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113237","Census Tract 1132.37",,,,1626
"06037113238","Census Tract 1132.38, Los Angeles County, California","ACSSF","ca","140","00","0004303",,,,,"06","037",,,"113238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113238","Census Tract 1132.38",,,,1543
"06037113239","Census Tract 1132.39, Los Angeles County, California","ACSSF","ca","140","00","0004304",,,,,"06","037",,,"113239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113239","Census Tract 1132.39",,,,913
"06037113301","Census Tract 1133.01, Los Angeles County, California","ACSSF","ca","140","00","0004305",,,,,"06","037",,,"113301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113301","Census Tract 1133.01",,,,1704
"06037113303","Census Tract 1133.03, Los Angeles County, California","ACSSF","ca","140","00","0004306",,,,,"06","037",,,"113303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113303","Census Tract 1133.03",,,,1284
"06037113322","Census Tract 1133.22, Los Angeles County, California","ACSSF","ca","140","00","0004307",,,,,"06","037",,,"113322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113322","Census Tract 1133.22",,,,1540
"06037113323","Census Tract 1133.23, Los Angeles County, California","ACSSF","ca","140","00","0004308",,,,,"06","037",,,"113323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037113323","Census Tract 1133.23",,,,1557
