,Tract,Permit Type,Permit Sub-Type,Issue Date,# of Residential Dwelling Units,AFFD,Zone,Census Tract,Latitude,Longitude,geometry
11597,LANKERSHIM RANCH LAND AND WATER CO.,Bldg-New,1 or 2 Family Dwelling,2017-08-09,1,NOAH,RE9-1,1256.0,34.15781,-118.35961,POINT (-118.35961 34.15781)
11598,LE-MOYNE TERRACES TRACT NO. 1,Bldg-New,1 or 2 Family Dwelling,2016-10-24,1,NOAH,R1-1,1852.02,34.09753,-118.2137,POINT (-118.2137 34.09753)
11599,TR 62465-C,Bldg-New,1 or 2 Family Dwelling,2016-01-11,1,NOAH,[T][Q]RD1.5-1,2963.0,33.75748,-118.29434,POINT (-118.29434 33.75748)
11600,TR 5049,Bldg-New,1 or 2 Family Dwelling,2017-10-16,1,NOAH,R1-1,2110.0,34.06341,-118.34172,POINT (-118.34172 34.06341)
11606,TR 17461,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-04-14,1,NOAH,RS-1,1210.1,34.22044,-118.4018,POINT (-118.4018 34.22044)
11609,TR 12090,Bldg-New,1 or 2 Family Dwelling,2016-01-26,1,NOAH,R1-1-RIO,1287.02,34.162,-118.4336,POINT (-118.4336 34.162)
11612,P M 1698,Bldg-New,1 or 2 Family Dwelling,2017-01-31,1,NOAH,RE9-1,1397.01,34.15461,-118.49195,POINT (-118.49195 34.15461)
11613,TR 60461,Bldg-New,1 or 2 Family Dwelling,2016-02-19,1,NOAH,(T)(Q)RS-1-RFA,1031.01,34.27197,-118.31421,POINT (-118.31421 34.27197)
11615,TR 7965,Bldg-New,1 or 2 Family Dwelling,2018-03-09,1,NOAH,R1V2,2170.02,34.04572,-118.38188,POINT (-118.38188 34.04572)
11616,TR 3555,Bldg-New,1 or 2 Family Dwelling,2016-01-26,1,NOAH,[Q]R3-1VL,2933.06,33.78667,-118.30487,POINT (-118.30487 33.78667)
11617,DURLEY PARK,Bldg-New,1 or 2 Family Dwelling,2018-01-11,1,NOAH,R1V2,2731.0,34.00261,-118.45538,POINT (-118.45538 34.00261)
11618,TR 50508,Bldg-New,1 or 2 Family Dwelling,2017-02-17,1,NOAH,[T]RE-1,1082.02,34.29133,-118.57833,POINT (-118.57833 34.29133)
11619,TR 60461,Bldg-New,1 or 2 Family Dwelling,2016-02-19,1,NOAH,(T)(Q)RS-1-RFA,1031.01,34.27192,-118.31457,POINT (-118.31457 34.27192)
11626,TR 5500,Bldg-New,1 or 2 Family Dwelling,2017-05-24,1,NOAH,RD2-1,2702.0,34.0332,-118.38584,POINT (-118.38584 34.0332)
11627,TR 13844,Bldg-New,1 or 2 Family Dwelling,2016-05-02,1,NOAH,R1-1,1414.0,34.15103,-118.46977,POINT (-118.46977 34.15103)
11630,TR 6455,Bldg-Addition,1 or 2 Family Dwelling,2016-07-19,1,NOAH,RD2-1,1011.1,34.25855,-118.29809,POINT (-118.29809 34.25855)
11632,CULVER GARDENS,Bldg-New,1 or 2 Family Dwelling,2016-08-31,1,NOAH,R1-1,2752.0,33.99403,-118.42281,POINT (-118.42281 33.99403)
11634,TR 6005,Bldg-New,1 or 2 Family Dwelling,2016-02-16,1,NOAH,[Q]R3-1XL,1920.01,34.08578,-118.3461,POINT (-118.3461 34.08578)
11635,TR 7842,Bldg-New,1 or 2 Family Dwelling,2016-05-16,1,NOAH,R1-1,1941.02,34.10363,-118.36002,POINT (-118.36002 34.10363)
11640,TR 72726-SL,Bldg-New,1 or 2 Family Dwelling,2017-05-12,1,NOAH,(T)(Q)RD6-1,1174.04,34.22359,-118.48434,POINT (-118.48434 34.22359)
11646,TR 11896,Bldg-New,1 or 2 Family Dwelling,2016-03-23,1,NOAH,(T)(Q)RD3-1-RIO,1320.01,34.19365,-118.5109,POINT (-118.5109 34.19365)
11648,TR 9630,Bldg-New,1 or 2 Family Dwelling,2016-05-10,1,NOAH,RA-1,1132.34,34.22338,-118.58832,POINT (-118.58832 34.22338)
11650,TR 72271-C,Bldg-New,1 or 2 Family Dwelling,2016-03-18,1,NOAH,(T)(Q)RD4-1XL,1134.01,34.22669,-118.56977,POINT (-118.56977 34.22669)
11658,TR 11050,Bldg-New,1 or 2 Family Dwelling,2016-02-17,1,NOAH,R1-1,1414.0,34.16064,-118.4747,POINT (-118.4747 34.16064)
11662,TR 7203,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-03-21,1,NOAH,R1-1-RFA-RIO,1439.01,34.14252,-118.39802,POINT (-118.39802 34.14252)
11663,PECKHAM'S MONETA AVENUE SQUARE NO. 1,Bldg-New,1 or 2 Family Dwelling,2017-09-19,1,NOAH,R2-1,2396.01,33.97285,-118.27943,POINT (-118.27943 33.97285)
11672,TR 11896,Bldg-New,1 or 2 Family Dwelling,2016-01-28,1,NOAH,(T)(Q)RD3-1-RIO,1320.01,34.19365,-118.5109,POINT (-118.5109 34.19365)
11673,TR 17117,Bldg-New,1 or 2 Family Dwelling,2016-11-17,1,NOAH,R1-1,2625.01,34.05408,-118.52373,POINT (-118.52373 34.05408)
11674,TR 4954,Bldg-New,1 or 2 Family Dwelling,2016-06-09,1,NOAH,R1-1,1411.02,34.14748,-118.43599,POINT (-118.43599 34.14748)
11675,TR 15872,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-05-12,1,NOAH,R1-1-RIO,1327.0,34.19369,-118.52042,POINT (-118.52042 34.19369)
11681,TR 4954,Bldg-New,1 or 2 Family Dwelling,2016-10-18,1,NOAH,R1-1,1412.02,34.14761,-118.43962,POINT (-118.43962 34.14761)
11688,TR 7358,Bldg-New,1 or 2 Family Dwelling,2017-06-12,1,NOAH,R1-1,2753.11,33.99423,-118.42853,POINT (-118.42853 33.99423)
11689,TR 13879,Bldg-Addition,1 or 2 Family Dwelling,2017-05-30,1,NOAH,R1-1-CUGU,1218.02,34.22263,-118.39185,POINT (-118.39185 34.22263)
11690,TR 18700,Bldg-New,1 or 2 Family Dwelling,2018-09-14,1,NOAH,RS-1,1066.42,34.2786,-118.50808,POINT (-118.50808 34.2786)
11693,TR 16517,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-06-13,1,NOAH,R1-1,1230.1,34.20375,-118.3719,POINT (-118.3719 34.20375)
11697,TR 4677,Bldg-New,1 or 2 Family Dwelling,2017-04-27,1,NOAH,R1-1-O,2657.0,34.06014,-118.42633,POINT (-118.42633 34.06014)
11700,SOUTH BONNIE BRAE TRACT,Bldg-Alter/Repair,Apartment,2018-07-30,1,NOAH,CR-1-HPOZ,2095.2,34.04901,-118.27717,POINT (-118.27717 34.04901)
11701,MOUNTAIN VIEW TRACT,Bldg-New,1 or 2 Family Dwelling,2017-05-17,1,NOAH,RD1.5-1,1831.03,34.11653,-118.17137,POINT (-118.17137 34.11653)
11707,TR 9300,Bldg-New,1 or 2 Family Dwelling,2016-09-09,1,NOAH,R1-1,2625.01,34.04936,-118.52377,POINT (-118.52377 34.04936)
11708,TR 9070,Bldg-New,1 or 2 Family Dwelling,2016-04-14,1,NOAH,R1-1,2652.01,34.06517,-118.43795,POINT (-118.43795 34.06517)
11709,LOS ANGELES BUILDING CO'S COMPTON AVENUE TRACT,Bldg-New,1 or 2 Family Dwelling,2016-11-03,1,NOAH,R2-1,2288.0,34.00195,-118.24474,POINT (-118.24474 34.00195)
11710,TR 13465,Bldg-New,1 or 2 Family Dwelling,2017-05-12,1,NOAH,R1-1,2625.01,34.05029,-118.52647,POINT (-118.52647 34.05029)
11713,TR 12461,Bldg-New,1 or 2 Family Dwelling,2016-04-20,1,NOAH,RD2-1,1255.02,34.15497,-118.3617,POINT (-118.3617 34.15497)
11715,TR 6170,Bldg-New,1 or 2 Family Dwelling,2018-05-01,1,NOAH,RE40-1,1374.01,34.16146,-118.60954,POINT (-118.60954 34.16146)
11716,LAKE SIDE TRACT,Bldg-New,1 or 2 Family Dwelling,2017-03-24,1,NOAH,RD2-1VL,1957.2,34.07523,-118.26312,POINT (-118.26312 34.07523)
11718,ARNAZ PROPERTY,Bldg-Addition,1 or 2 Family Dwelling,2017-05-12,1,NOAH,R1-1,2167.0,34.04553,-118.36947,POINT (-118.36947 34.04553)
11722,TR 16363,Bldg-New,1 or 2 Family Dwelling,2017-06-15,1,NOAH,R1-1,2770.0,33.9733,-118.3994,POINT (-118.3994 33.9733)
11725,TR 1875,Bldg-New,1 or 2 Family Dwelling,2017-05-23,1,NOAH,(T)R1-1-RIO,1310.2,34.1934,-118.54122,POINT (-118.54122 34.1934)
11727,TR 15114,Bldg-New,1 or 2 Family Dwelling,2016-05-03,1,NOAH,R1-1-RFA-RIO,1434.0,34.15174,-118.40645,POINT (-118.40645 34.15174)
11728,TR 8582,Bldg-New,1 or 2 Family Dwelling,2018-01-30,1,NOAH,R1-1-RFA-RIO,1433.0,34.15324,-118.39523,POINT (-118.39523 34.15324)
11730,WEST PARK TRACT,Bldg-Alter/Repair,Apartment,2017-02-28,1,NOAH,RD1.5-1,2312.2,34.01333,-118.29466,POINT (-118.29466 34.01333)
11731,TR 12194,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-06-07,1,NOAH,R1-1-RFA-RIO,1434.0,34.15327,-118.40236,POINT (-118.40236 34.15327)
11735,TR 5609,Bldg-New,1 or 2 Family Dwelling,2017-11-17,1,NOAH,RD1.5-1-O,2671.0,34.05495,-118.42404,POINT (-118.42404 34.05495)
11738,TR 12795,Bldg-New,1 or 2 Family Dwelling,2018-07-05,1,NOAH,RE20-1-H,2621.0,34.09084,-118.45376,POINT (-118.45376 34.09084)
11739,CHATSWORTH PARK,Bldg-New,1 or 2 Family Dwelling,2016-10-04,1,NOAH,A1-1,1132.37,34.23556,-118.60629,POINT (-118.60629 34.23556)
11741,PACIFIC FARMS,Bldg-New,1 or 2 Family Dwelling,2019-02-19,1,NOAH,RD1.5-1,2675.01,34.03874,-118.45624,POINT (-118.45624 34.03874)
11743,TR 15593,Bldg-New,1 or 2 Family Dwelling,2021-04-16,1,NOAH,R1V2,2690.0,34.03337,-118.4047,POINT (-118.4047 34.03337)
11745,TR 5500,Bldg-New,1 or 2 Family Dwelling,2016-03-02,1,NOAH,RD1.5-1,2702.0,34.03296,-118.38323,POINT (-118.38323 34.03296)
11747,TR 7355,Bldg-New,1 or 2 Family Dwelling,2018-03-23,1,NOAH,R1V3,2146.0,34.07409,-118.36568,POINT (-118.36568 34.07409)
11748,TR 72373,Bldg-New,1 or 2 Family Dwelling,2017-12-01,1,NOAH,(T)(Q)R1-1,1132.32,34.22707,-118.6232,POINT (-118.6232 34.22707)
11749,TR 11896,Bldg-New,1 or 2 Family Dwelling,2016-03-23,1,NOAH,(T)(Q)RD3-1-RIO,1320.01,34.19365,-118.5109,POINT (-118.5109 34.19365)
11750,BOETTCHER TRACT,Bldg-Addition,1 or 2 Family Dwelling,2022-07-08,1,NOAH,RD2-1,2267.0,34.0175,-118.26295,POINT (-118.26295 34.0175)
11753,TR 6170,Bldg-Addition,1 or 2 Family Dwelling,2017-03-15,1,NOAH,R1-1,1374.01,34.1666,-118.60837,POINT (-118.60837 34.1666)
11756,SOUTHERN CALIFORNIA INVESTMENT CO'S TRACT,Bldg-New,1 or 2 Family Dwelling,2016-06-27,1,NOAH,R2-1,2324.0,33.99587,-118.30504,POINT (-118.30504 33.99587)
11758,TR 50508,Bldg-New,1 or 2 Family Dwelling,2016-01-29,1,NOAH,[T]RE-1,1082.02,34.29274,-118.57866,POINT (-118.57866 34.29274)
11759,TR 21979,Bldg-Addition,1 or 2 Family Dwelling,2022-07-05,1,NOAH,R1-1,1862.03,34.11469,-118.22043,POINT (-118.22043 34.11469)
11762,LAKE SIDE TRACT,Bldg-New,1 or 2 Family Dwelling,2017-03-24,1,NOAH,RD2-1VL,1957.2,34.07523,-118.26312,POINT (-118.26312 34.07523)
11763,TR 72373,Bldg-New,1 or 2 Family Dwelling,2017-12-01,1,NOAH,(T)(Q)R1-1,1132.32,34.22706,-118.62337,POINT (-118.62337 34.22706)
11767,TR 7497,Bldg-New,1 or 2 Family Dwelling,2017-04-18,1,NOAH,R1-1,1438.0,34.13742,-118.38894,POINT (-118.38894 34.13742)
11769,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2022-07-05,1,NOAH,[T]RE-1,1082.02,34.28802,-118.57297,POINT (-118.57297 34.28802)
11770,TR 6844,Bldg-New,1 or 2 Family Dwelling,2017-02-06,1,NOAH,R1-1,1832.22,34.12693,-118.1985,POINT (-118.1985 34.12693)
11771,TR 72373,Bldg-New,1 or 2 Family Dwelling,2017-11-07,1,NOAH,(T)(Q)R1-1,1132.32,34.22619,-118.62295,POINT (-118.62295 34.22619)
11772,TR 12874,Bldg-New,1 or 2 Family Dwelling,2016-11-21,1,NOAH,RE11-1,2628.02,34.04172,-118.51619,POINT (-118.51619 34.04172)
11773,TR 50507-01,Bldg-New,1 or 2 Family Dwelling,2016-08-02,1,NOAH,[T]RE-1,1082.02,34.28992,-118.58583,POINT (-118.58583 34.28992)
11777,TR 72217,Bldg-New,1 or 2 Family Dwelling,2016-02-10,1,NOAH,R1-1,2703.0,34.04112,-118.37175,POINT (-118.37175 34.04112)
11786,MARATHON TRACT,Bldg-New,1 or 2 Family Dwelling,2016-02-18,1,NOAH,RD2-1VL,1958.04,34.07644,-118.272,POINT (-118.272 34.07644)
11787,TR 7840,Bldg-New,1 or 2 Family Dwelling,2016-11-18,1,NOAH,R1-1,2640.0,34.05452,-118.47558,POINT (-118.47558 34.05452)
11789,PACIFIC FARMS,Bldg-New,1 or 2 Family Dwelling,2019-02-19,1,NOAH,RD1.5-1,2675.01,34.03874,-118.45624,POINT (-118.45624 34.03874)
11790,KENDALL'S BERRY LAND TRACT,Bldg-Addition,1 or 2 Family Dwelling,2022-07-05,1,NOAH,R3-1,2321.1,34.0016,-118.28728,POINT (-118.28728 34.0016)
11791,TR 7167,Bldg-New,1 or 2 Family Dwelling,2016-09-28,1,NOAH,R1-1-RIO,1276.06,34.19318,-118.48129,POINT (-118.48129 34.19318)
11794,TR 7195,Bldg-New,1 or 2 Family Dwelling,2020-01-08,1,NOAH,R1V2,2690.0,34.03712,-118.39823,POINT (-118.39823 34.03712)
11796,TR 50508,Bldg-New,1 or 2 Family Dwelling,2017-04-20,1,NOAH,[T]RE-1,1082.02,34.29198,-118.57817,POINT (-118.57817 34.29198)
11797,TR 10447,Bldg-New,1 or 2 Family Dwelling,2016-03-25,1,NOAH,[Q]R1-1D,2017.0,34.06641,-118.17254,POINT (-118.17254 34.06641)
11802,TR 1468,Bldg-New,1 or 2 Family Dwelling,2016-11-08,1,NOAH,R1-1,1238.0,34.18499,-118.40246,POINT (-118.40246 34.18499)
11803,TR 19229,Bldg-New,1 or 2 Family Dwelling,2017-08-04,1,NOAH,RE15-1-H,1943.0,34.09747,-118.3856,POINT (-118.3856 34.09747)
11805,TR 18321,Bldg-New,1 or 2 Family Dwelling,2021-06-04,1,NOAH,RS-1,1396.0,34.16097,-118.51621,POINT (-118.51621 34.16097)
11807,TR 19971,Bldg-New,1 or 2 Family Dwelling,2016-06-02,1,NOAH,R1-1,1247.0,34.1655,-118.41973,POINT (-118.41973 34.1655)
11810,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2022-07-05,1,NOAH,[T]RE-1,1082.02,34.28847,-118.57259,POINT (-118.57259 34.28847)
11811,TR 6449,Bldg-New,1 or 2 Family Dwelling,2018-04-12,1,NOAH,R1-1,1254.02,34.15543,-118.3762,POINT (-118.3762 34.15543)
11812,TR 4807,Bldg-New,1 or 2 Family Dwelling,2016-08-16,1,NOAH,R1-1,2348.0,33.97829,-118.32516,POINT (-118.32516 33.97829)
11814,TR 5822,Bldg-New,1 or 2 Family Dwelling,2017-06-16,1,NOAH,RE11-1,1413.04,34.14725,-118.45085,POINT (-118.45085 34.14725)
11815,TR 12225,Bldg-New,1 or 2 Family Dwelling,2017-07-12,1,NOAH,R1-1,2676.0,34.0362,-118.45408,POINT (-118.45408 34.0362)
11818,TR 9216,Bldg-New,1 or 2 Family Dwelling,2017-05-01,1,NOAH,R1-1-RFA-RIO,1436.03,34.14277,-118.37692,POINT (-118.37692 34.14277)
11820,HENRIQUE VILLA TRACT,Bldg-New,1 or 2 Family Dwelling,2018-01-04,1,NOAH,R1-1,2427.0,33.93218,-118.24157,POINT (-118.24157 33.93218)
11821,TR 4180,Bldg-Addition,1 or 2 Family Dwelling,2017-06-07,1,NOAH,R1-1VL,1951.0,34.1015,-118.26157,POINT (-118.26157 34.1015)
11824,TR 7626,Bldg-New,1 or 2 Family Dwelling,2016-05-03,1,NOAH,RD2-1,2721.0,34.00307,-118.44354,POINT (-118.44354 34.00307)
11825,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2022-07-05,1,NOAH,[T]RE-1,1082.02,34.28831,-118.57272,POINT (-118.57272 34.28831)
11829,TR 8332,Bldg-New,1 or 2 Family Dwelling,2017-01-11,1,NOAH,RD1.5-1VL,1252.0,34.1695,-118.38205,POINT (-118.38205 34.1695)
11831,TR 9803,Bldg-New,1 or 2 Family Dwelling,2016-05-18,1,NOAH,R1-1-RFA-RIO,1433.0,34.15366,-118.38211,POINT (-118.38211 34.15366)
11836,TR 5377,Bldg-New,1 or 2 Family Dwelling,2017-02-14,1,NOAH,R2-1XL,1920.02,34.08637,-118.35519,POINT (-118.35519 34.08637)
11841,TR 3631,Bldg-New,1 or 2 Family Dwelling,2017-03-15,1,NOAH,[Q]C2-1VL-CDO,1862.01,34.1225,-118.22228,POINT (-118.22228 34.1225)
11842,TR 6170,Bldg-New,1 or 2 Family Dwelling,2016-08-02,1,NOAH,R1-1,1375.02,34.15892,-118.59317,POINT (-118.59317 34.15892)
11843,TR 13684,Bldg-New,1 or 2 Family Dwelling,2022-07-08,1,NOAH,R1V2-O,2691.0,34.0495,-118.39894,POINT (-118.39894 34.0495)
11851,TR 9815,Bldg-Alter/Repair,1 or 2 Family Dwelling,2016-09-07,1,NOAH,[Q]R3-1,1278.03,34.19898,-118.45078,POINT (-118.45078 34.19898)
11852,TR 50508,Bldg-New,1 or 2 Family Dwelling,2017-02-17,1,NOAH,[T]RE-1,1082.02,34.29264,-118.57804,POINT (-118.57804 34.29264)
11853,TR 11048,Bldg-New,1 or 2 Family Dwelling,2022-09-12,1,NOAH,R1-1-RIO,1433.0,34.15293,-118.38356,POINT (-118.38356 34.15293)
11856,BUNGALOW-LAND,Bldg-New,1 or 2 Family Dwelling,2016-03-23,1,NOAH,R1-1,1942.0,34.1088,-118.3774,POINT (-118.3774 34.1088)
11857,TR 1446,Bldg-Addition,1 or 2 Family Dwelling,2016-03-03,1,NOAH,R3-1,2199.01,34.0315,-118.357,POINT (-118.357 34.0315)
11859,CLARK AND BRYAN'S LONE STAR TRACT,Bldg-New,1 or 2 Family Dwelling,2021-09-09,1,NOAH,R3-1,2134.02,34.04855,-118.28521,POINT (-118.28521 34.04855)
11864,TR 7499,Bldg-New,1 or 2 Family Dwelling,2016-04-14,1,NOAH,RD2-1-RIO,1871.02,34.11071,-118.25246,POINT (-118.25246 34.11071)
11873,TR 13772,Bldg-New,1 or 2 Family Dwelling,2018-05-08,1,NOAH,RE20-1-H,2621.0,34.09316,-118.44379,POINT (-118.44379 34.09316)
11875,TR 7555,Bldg-New,1 or 2 Family Dwelling,2016-01-14,1,NOAH,R1-1-O-RFA,2147.0,34.0698,-118.36889,POINT (-118.36889 34.0698)
11876,TR 13792,Bldg-New,1 or 2 Family Dwelling,2017-04-13,1,NOAH,R1-1-RIO,1287.02,34.16211,-118.43685,POINT (-118.43685 34.16211)
11877,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2022-07-05,1,NOAH,[T]RE-1,1082.02,34.28815,-118.57283,POINT (-118.57283 34.28815)
11884,TR 3631,Bldg-New,1 or 2 Family Dwelling,2017-03-15,1,NOAH,[Q]C2-1VL-CDO,1862.01,34.12264,-118.22197,POINT (-118.22197 34.12264)
11886,TR 4249,Bldg-New,1 or 2 Family Dwelling,2022-07-06,1,NOAH,R1-1,1414.0,34.16064,-118.47662,POINT (-118.47662 34.16064)
11889,TR 12450,Bldg-New,1 or 2 Family Dwelling,2018-02-13,1,NOAH,R1V2,2721.0,34.0082,-118.43974,POINT (-118.43974 34.0082)
11890,P M 1304,Bldg-New,1 or 2 Family Dwelling,2019-01-03,1,NOAH,RE40-1,1375.04,34.14803,-118.57616,POINT (-118.57616 34.14803)
11897,TR 5609,Bldg-Alter/Repair,Apartment,2018-04-25,1,NOAH,R3-1,2672.0,34.0475,-118.43377,POINT (-118.43377 34.0475)
11901,TR 10031,Bldg-New,1 or 2 Family Dwelling,2016-09-29,1,NOAH,R1-1,1255.01,34.16285,-118.36254,POINT (-118.36254 34.16285)
11903,TR 7555,Bldg-New,1 or 2 Family Dwelling,2022-03-24,1,NOAH,R1-1-O-RFA,2148.0,34.06776,-118.37292,POINT (-118.37292 34.06776)
11905,ROSEWOOD AVENUE TRACT,Bldg-New,1 or 2 Family Dwelling,2016-03-25,1,NOAH,R3-1,1924.1,34.07899,-118.31414,POINT (-118.31414 34.07899)
11907,TR 15298,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-04-25,1,NOAH,RS-1,1174.04,34.22218,-118.47752,POINT (-118.47752 34.22218)
11908,TR 13958,Bldg-New,1 or 2 Family Dwelling,2016-04-28,1,NOAH,R1-1,1414.0,34.15654,-118.47156,POINT (-118.47156 34.15654)
11909,TR 12117,Bldg-New,1 or 2 Family Dwelling,2021-05-11,1,NOAH,RE15-1,2623.03,34.06116,-118.48058,POINT (-118.48058 34.06116)
11912,TR 12406,Bldg-New,1 or 2 Family Dwelling,2017-11-29,1,NOAH,R1V2,2695.0,34.04681,-118.38696,POINT (-118.38696 34.04681)
11917,TR 16146,Bldg-New,1 or 2 Family Dwelling,2018-03-09,1,NOAH,RE15-1-H,1941.01,34.11424,-118.34618,POINT (-118.34618 34.11424)
11922,TR 2273,Bldg-New,1 or 2 Family Dwelling,2016-02-23,1,NOAH,R1-1,2412.02,33.93719,-118.28374,POINT (-118.28374 33.93719)
11923,TR 29175,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-05-17,1,NOAH,R1-1,1220.0,34.21076,-118.41571,POINT (-118.41571 34.21076)
11925,TR 12328,Bldg-New,1 or 2 Family Dwelling,2016-07-14,1,NOAH,R1-1,2625.01,34.04941,-118.52492,POINT (-118.52492 34.04941)
11926,TR 6170,Bldg-New,1 or 2 Family Dwelling,2022-07-06,1,NOAH,R1-1,1375.02,34.16033,-118.60435,POINT (-118.60435 34.16033)
11931,TR 569,Bldg-New,1 or 2 Family Dwelling,2016-10-27,1,NOAH,RD1.5-1-O,2182.2,34.04588,-118.34014,POINT (-118.34014 34.04588)
11933,TR 63625-C,Bldg-New,1 or 2 Family Dwelling,2017-08-21,1,NOAH,[T][Q]C2-1,1133.01,34.23789,-118.55824,POINT (-118.55824 34.23789)
11934,TR 52866,Bldg-New,1 or 2 Family Dwelling,2018-05-30,1,NOAH,RE9-1-H,1344.24,34.21986,-118.65572,POINT (-118.65572 34.21986)
11936,TR 5921,Bldg-Addition,1 or 2 Family Dwelling,2017-03-16,1,NOAH,R2-1-O,2169.0,34.0516,-118.36075,POINT (-118.36075 34.0516)
11937,RANCHOS SAN RAFAEL AND LA CANADA,Bldg-New,1 or 2 Family Dwelling,2017-11-15,1,NOAH,RD1.5-1-HPOZ,1837.01,34.10764,-118.19218,POINT (-118.19218 34.10764)
11940,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2022-07-07,1,NOAH,[T]RE-1,1082.02,34.28885,-118.57257,POINT (-118.57257 34.28885)
11943,TR 49095,Bldg-New,1 or 2 Family Dwelling,2016-05-04,1,NOAH,R1-1,1341.01,34.21086,-118.56265,POINT (-118.56265 34.21086)
11945,AA-2002-504,Bldg-New,1 or 2 Family Dwelling,2017-07-27,1,NOAH,RA-1-K,1065.2,34.3133,-118.46634,POINT (-118.46634 34.3133)
11948,TR 5552,Bldg-New,1 or 2 Family Dwelling,2017-10-10,1,NOAH,[Q]C2-1VL,1873.0,34.10739,-118.26328,POINT (-118.26328 34.10739)
11949,SHORT LINE BEACH VENICE CANAL SUBDIVISION NO. 1,Bldg-New,1 or 2 Family Dwelling,2016-05-05,1,NOAH,RW1-1-O,2739.02,33.98403,-118.46403,POINT (-118.46403 33.98403)
11954,TR 5109,Bldg-New,1 or 2 Family Dwelling,2016-09-19,1,NOAH,R1-1VLD,2731.0,34.00131,-118.46591,POINT (-118.46591 34.00131)
11955,P M 1078,Bldg-New,1 or 2 Family Dwelling,2016-09-07,1,NOAH,RS-1,2640.0,34.05307,-118.4836,POINT (-118.4836 34.05307)
11957,A. YBARRA TRACT,Bldg-New,1 or 2 Family Dwelling,2016-12-14,1,NOAH,R1-1,2718.01,34.01725,-118.41652,POINT (-118.41652 34.01725)
11958,TR 6778,Bldg-Addition,1 or 2 Family Dwelling,2016-02-26,1,NOAH,RA-1,1340.02,34.20428,-118.58615,POINT (-118.58615 34.20428)
11959,TR 12074,Bldg-New,1 or 2 Family Dwelling,2017-01-03,1,NOAH,R1-1,1241.03,34.18961,-118.38027,POINT (-118.38027 34.18961)
11961,WANDA PARK,Bldg-New,1 or 2 Family Dwelling,2022-07-07,1,NOAH,RE15-1-H-HCR,2611.02,34.10608,-118.43649,POINT (-118.43649 34.10608)
11963,TR 7156,Bldg-New,1 or 2 Family Dwelling,2017-01-18,1,NOAH,R1-1-O,2693.0,34.03901,-118.41721,POINT (-118.41721 34.03901)
11964,SOUTHERN PORTION OF THE MONTEZUMA TRACT,Bldg-Addition,1 or 2 Family Dwelling,2017-06-21,1,NOAH,R1-1,1835.1,34.11842,-118.20625,POINT (-118.20625 34.11842)
11967,TR 15105,Bldg-New,1 or 2 Family Dwelling,2017-09-08,1,NOAH,(T)(Q)RAS3-1VL,1235.2,34.18683,-118.41836,POINT (-118.41836 34.18683)
11968,TR 7289,Bldg-New,1 or 2 Family Dwelling,2021-05-13,1,NOAH,R1V2,2737.0,34.00174,-118.45137,POINT (-118.45137 34.00174)
11971,SHAFER AND TOWN TRACT,Bldg-Alter/Repair,Apartment,2016-09-08,1,NOAH,R3-1VL,1958.02,34.07485,-118.27197,POINT (-118.27197 34.07485)
11974,TR 72217,Bldg-New,1 or 2 Family Dwelling,2016-02-10,1,NOAH,R1-1,2703.0,34.04101,-118.3718,POINT (-118.3718 34.04101)
11976,TR 60110_REC-C,Bldg-New,1 or 2 Family Dwelling,2016-02-02,1,NOAH,C2(PV),2756.02,33.97602,-118.41476,POINT (-118.41476 33.97602)
11980,TR 2955,Bldg-New,1 or 2 Family Dwelling,2017-05-09,1,NOAH,R1-1,1414.0,34.15306,-118.47439,POINT (-118.47439 34.15306)
11985,TR 6891,Bldg-New,1 or 2 Family Dwelling,2017-01-19,1,NOAH,R1-1-RFA-RIO,1435.0,34.14957,-118.40428,POINT (-118.40428 34.14957)
11986,TR 15105,Bldg-New,1 or 2 Family Dwelling,2017-09-08,1,NOAH,(T)(Q)RAS3-1VL,1235.2,34.18683,-118.41836,POINT (-118.41836 34.18683)
11987,TR 15246,Bldg-New,1 or 2 Family Dwelling,2016-01-26,1,NOAH,RA-1,1394.02,34.16491,-118.55595,POINT (-118.55595 34.16491)
11994,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2017-08-24,1,NOAH,[T]RE-1,1082.02,34.2832,-118.57365,POINT (-118.57365 34.2832)
11995,TR 1000,Bldg-New,1 or 2 Family Dwelling,2018-02-21,1,NOAH,(T)(Q)RD2-1,1278.03,34.20093,-118.45312,POINT (-118.45312 34.20093)
12000,LOS ANGELES OLIVE GROWERS ASSOCIATION LANDS,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-04-27,1,NOAH,RA-1-K,1064.05,34.31389,-118.45123,POINT (-118.45123 34.31389)
