,Tract,Permit Type,Permit Sub-Type,Issue Date,# of Residential Dwelling Units,AFFD,Zone,Census Tract,Latitude,Longitude,geometry
6254,TR 14386,Bldg-New,1 or 2 Family Dwelling,2020-11-25,1,NOAH,R1V2,2715.0,34.02052,-118.44086,POINT (-118.44086 34.02052)
6256,TR 3901,Bldg-New,1 or 2 Family Dwelling,2019-12-18,1,NOAH,R1-1,2751.02,33.99593,-118.40657,POINT (-118.40657 33.99593)
6257,TR 5377,Bldg-New,1 or 2 Family Dwelling,2019-02-28,1,NOAH,R2-1XL,1920.02,34.08613,-118.35311,POINT (-118.35311 34.08613)
6258,TR 52866,Bldg-New,1 or 2 Family Dwelling,2019-10-30,1,NOAH,RE9-1-H,1344.24,34.21992,-118.65736,POINT (-118.65736 34.21992)
6259,TR 1584,Bldg-New,1 or 2 Family Dwelling,2021-07-09,1,NOAH,(Q)RD3-1,1193.1,34.24284,-118.45446,POINT (-118.45446 34.24284)
6260,TR 4924,Bldg-New,1 or 2 Family Dwelling,2021-11-03,1,NOAH,R1V2-O,2140.0,34.07798,-118.34968,POINT (-118.34968 34.07798)
6261,TR 16040,Bldg-New,1 or 2 Family Dwelling,2018-02-07,1,NOAH,RA-1,1151.01,34.23841,-118.51548,POINT (-118.51548 34.23841)
6262,TR 17705,Bldg-New,1 or 2 Family Dwelling,2022-05-10,1,NOAH,RA-1,1394.02,34.16454,-118.54013,POINT (-118.54013 34.16454)
6263,TR 6790,Bldg-New,1 or 2 Family Dwelling,2021-04-28,1,NOAH,R1V3,1945.0,34.07907,-118.36703,POINT (-118.36703 34.07907)
6264,THE MACLAY RANCHO,Bldg-Alter/Repair,1 or 2 Family Dwelling,2020-12-21,1,NOAH,RD1.5-1XL,1061.14,34.30523,-118.43258,POINT (-118.43258 34.30523)
6267,TR 6753,Bldg-New,1 or 2 Family Dwelling,2021-04-30,1,NOAH,RE20-1-O,2627.06,34.03743,-118.51922,POINT (-118.51922 34.03743)
6268,TR 49104-06-C,Bldg-New,1 or 2 Family Dwelling,2019-05-31,1,NOAH,R4(PV),2756.02,33.9721,-118.42177,POINT (-118.42177 33.9721)
6269,TR 8483,Bldg-New,1 or 2 Family Dwelling,2020-01-13,1,NOAH,R1-1XL,2975.0,33.71354,-118.3002,POINT (-118.3002 33.71354)
6270,P M 4928,Bldg-New,1 or 2 Family Dwelling,2019-11-19,1,NOAH,R1-1-RIO,1329.0,34.18376,-118.52467,POINT (-118.52467 34.18376)
6271,TR 3064,Bldg-New,1 or 2 Family Dwelling,2022-02-01,1,NOAH,RD2-1,2411.2,33.93963,-118.27853,POINT (-118.27853 33.93963)
