X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.455532000123,34.2623728996995,89,0,2648006901,OPLA,Owned,General Services,RS-1-O,14842 CLYMER ST,LOS ANGELES,LOS ANGELES,-118.455532,34.2623729,7,5663.968,None
-118.455532000123,34.2623728996995,90,0,5149001901,OPLA,Owned,General Services,C2-4D,1ST ST/SPRING ST,LOS ANGELES,LOS ANGELES,0,0,14,2414.322,None
-118.455532000123,34.2623728996995,91,0,2689016900,OPLA,Owned,General Services,RA-1,CHASE ST/RUBIO AVE,LOS ANGELES,LOS ANGELES,0,0,12,3503.364,None
-118.455532000123,34.2623728996995,92,0,2327007910,OPLA,Owned,General Services, ,HARTLAND ST/ATOLL AVE,LOS ANGELES,LOS ANGELES,0,0,2,2961.949,None
-118.240707600284,34.0520268993519,93,0,0,Public Facility,Owned,General Services, ,150 N LOS ANGELES ST,LOS ANGELES,Los Angeles,-118.2407076,34.0520269,14,0,None
-118.458690800055,33.9911781997661,94,0,0,Public Facility,Owned,General Services, ,681 N VENICE BLVD,LOS ANGELES,LOS ANGELES,-118.4586908,33.9911782,11,0,None
-118.458690800055,33.9911781997661,95,0,2226022900,Not Classified,Owned,General Services,R1-1,KELSLOAN ST/WHITAKER AVE,LOS ANGELES,LOS ANGELES,0,0,6,436.284,None
-118.458690800055,33.9911781997661,96,0,2226023900,Not Classified,Owned,General Services,R1-1,KELSLOAN ST/WHITAKER AVE,LOS ANGELES,LOS ANGELES,0,0,6,54.598,None
-118.458690800055,33.9911781997661,97,0,2226023901,Not Classified,Owned,General Services,R1-1,KELSLOAN ST/WHITAKER AVE,LOS ANGELES,LOS ANGELES,0,0,6,436.284, 
-118.458690800055,33.9911781997661,98,0,2238007901,Not Classified,Owned,General Services, ,RANCHITO AVE/ARCHWOOD ST,LOS ANGELES,LOS ANGELES,0,0,2,806.294, 
